One of two or more different genes that code for proteins at the same locus,allele
Mitosis in the absence of gametes\ offspring are identical to parent,asexual reproduction
Any of the chromosomes other than the sex chromosomes,autosome
Thread of DNA found in the nucleus carrying the genetic code in the form of genes,chromosome
Environmental influences causing a developmental anomaly during maturation,congenital
Normal number of chromosomes for a particular species,diploid number
One gene alters the phenotypic expression of a second gene at a separate locus,epistasis
Tendency of genes that are located proximal to each other to be inherited together,genetic linkage
A document to record ancestry and in selective breeding of animals,pedigree
Improved or increased function of any biological quality in  hybrid offspring,heterosis
