Allele that is expressed completely whenever present,dominant
Allele suppressed by dominant allele,recessive
One allele is totally dominant over the other,complete dominance
Neither allele is completely dominant,incomplete dominance
The two alleles both affect the phenotype in separate\ distinguishable ways,co-dominance
The 23rd chromosome in humans,sex chromosomes
Genes found found on X or Y,sex-linked
Genes found on X but not on Y,x-linked
A gene that leads to the death of an individual,lethal
Tendency of genes that are located proximal to each other to be inherited together,genetic linkage
